Lokasi,Tren,Tanggal Listing,Harga,Harga Asli,Omset 30 Hari,Rata-rata Omset per bulan,Omset Total,Penjualan 30 Hari,Rata-rata Penjualan per bulan,Penjualan Total,Jumlah Stok,Nilai Stok,Rating,Jumlah Ulasan,Wishlist,Category,Harga_encoded,Rata-rata Penjualan per bulan_outlier_flag,Rata-rata Omset per bulan_outlier_flag,Nilai Stok_outlier_flag
KOTA SURABAYA,51.0,2024-05-24,5299,23400,59428285,29037052,111628734,6632.0,5479,21066.0,16702,88503898,4.58,4288.0,785.0,misc,16221.5,True,False,False
KOTA JAKARTA BARAT,86.0,2018-03-12,4300,5000,34511800,4758540,372289700,6632.0,1106,85635.5,5520,23736000,4.67,8453.0,3416.0,misc,17500.0,False,False,False
KOTA MEDAN,44.0,2024-06-16,5790,20000,8019150,4481740,13896000,1385.0,774,2400.0,82,474780,4.505000000000001,706.0,64.0,Tas,99900.0,False,False,False
KOTA BEKASI,-9.0,2024-06-03,18950,0,12374350,13601856,48057200,653.0,717,2536.0,82,1553900,4.89,676.0,1144.0,misc,27850.0,False,False,False
KOTA SEMARANG,75.0,2023-10-15,5500,0,6715500,1622164,18073000,1221.0,294,3286.0,524,2882000,4.53,1039.0,127.0,misc,20200.0,False,False,False
KOTA JAKARTA BARAT,80.0,2023-11-28,4800,0,9451200,1815142,17620800,1969.0,378,3671.0,4174,20035200,4.66,344.0,51.0,misc,17500.0,False,False,False
KAB. TANGERANG,61.0,2024-05-14,3855,4500,13708380,5283731,22035180,3556.0,1370,5716.0,4601,17736855,4.505000000000001,529.0,110.0,misc,39000.0,False,False,False
KAB. BANDUNG,36.0,2023-08-06,6500,7500,1495000,945470,12694500,230.0,145,1953.0,20,130000,4.59,628.0,127.0,misc,52650.0,False,False,False
KOTA SURABAYA,87.0,2021-12-06,4999,0,11272745,1450263,48480302,2255.0,290,9698.0,11917,59573083,4.58,891.0,149.0,misc,16221.5,False,False,False
KAB. SIDOARJO,63.0,2023-08-24,5500,5900,5153500,1889466,24244000,937.0,343,4408.0,10772,59246000,4.63,1295.0,187.0,misc,16819.0,False,False,False
KOTA BOGOR,68.0,2022-09-30,99000,105000,124443000,39027057,922977000,1257.0,394,9323.0,11615,1149885000,4.77,4402.0,2538.0,Perawatan Pria,30000.0,False,True,True
KOTA JAKARTA BARAT,33.0,2024-07-21,5500,0,24475000,16368184,31916500,4450.0,2976,5803.0,15547,85508500,4.68,355.0,289.0,misc,17500.0,True,False,False
KOTA BOGOR,41.0,2024-03-22,21900,39900,23958600,13956066,82365900,1094.0,637,3761.0,298,6526200,4.66,1504.0,1494.0,misc,15400.0,False,False,False
KOTA JAKARTA BARAT,47.0,2022-09-16,8500,0,13413000,7053481,169957500,1578.0,829,19995.0,4175,35487500,4.505000000000001,3457.0,992.0,misc,17500.0,False,False,False
KOTA JAKARTA BARAT,37.0,2023-10-23,14000,50000,3892000,2433218,26460000,278.0,173,1890.0,27,378000,4.78,602.0,302.0,misc,17500.0,False,False,False
KOTA SEMARANG,-48.0,2023-11-06,6000,0,1824000,2711651,28284000,304.0,451,4714.0,81,486000,4.6,1221.0,166.0,misc,20200.0,False,False,False
KOTA METRO,28.0,2024-05-14,10000,20000,4940000,3544243,14720000,494.0,354,1472.0,144,1440000,4.72,387.0,131.0,misc,54250.0,False,False,False
KAB. KLATEN,51.0,2022-09-03,17500,0,18077500,8713563,213762500,1033.0,497,12215.0,3221,56367500,4.79,3195.0,966.0,misc,7999.0,False,False,False
KAB. JOMBANG,34.0,2023-10-04,20000,0,13340000,8673675,99820000,667.0,433,4991.0,20,400000,4.87,1495.0,435.0,misc,8999.0,False,False,False
KAB. TUBAN,77.0,2019-08-17,4400,4900,28384400,6380545,389567200,6451.0,1450,85635.5,9594,42213600,4.75,10331.0,1654.0,misc,4400.0,False,False,False
KAB. SIDOARJO,-45.0,2024-06-29,5934,6900,1762398,2565917,6883440,297.0,432,1160.0,11,65274,4.7,266.0,59.0,misc,16819.0,False,False,False
KOTA JAKARTA UTARA,-37.0,2024-06-25,16990,0,4298470,5919599,16616220,253.0,348,978.0,52,883480,4.76,239.0,84.0,Tas,102000.0,False,False,False
KOTA MEDAN,83.0,2019-06-20,4950,5500,12226500,2033886,128066400,2470.0,410,25872.0,171,846450,4.52,5677.0,682.0,misc,13900.0,False,False,False
KOTA JAKARTA UTARA,28.0,2024-07-10,18800,62400,3290000,2350234,5395600,175.0,125,287.0,261,4906800,4.59,117.0,115.0,misc,50000.0,False,False,False
KAB. TANGERANG,-43.0,2024-06-14,4500,0,2794500,3999624,12640500,621.0,888,2809.0,4600,20700000,4.53,289.0,39.0,misc,39000.0,False,False,False
KOTA BEKASI,5.0,2024-06-10,30610,45000,12580710,11923974,39425680,411.0,389,1288.0,118,3611980,4.9,324.0,788.0,misc,27850.0,False,False,False
KAB. BANDUNG,-24.0,2024-01-25,19000,94000,9177000,11453285,89414000,483.0,602,4706.0,80,1520000,4.69,1821.0,2725.0,misc,52650.0,False,False,False
KOTA JAKARTA BARAT,1.0,2022-07-20,13500,27900,41431500,40828232,1059871500,3069.0,3024,78509.0,342,4617000,4.76,15993.0,13716.5,misc,17500.0,True,True,False
KOTA JAKARTA BARAT,40.0,2020-04-18,56800,68000,35897600,21190058,1123844800,632.0,373,19786.0,2905,165004000,4.93,7650.0,10113.0,misc,17500.0,False,False,True
KAB. SEMARANG,-29.0,2024-05-17,5250,0,1806000,2341543,9518250,344.0,446,1813.0,89,467250,4.59,493.0,84.0,misc,40875.0,False,False,False
KOTA BOGOR,-17.0,2024-07-02,9800,21900,4361000,5104079,13063400,445.0,520,1333.0,300,2940000,4.505000000000001,385.0,247.0,misc,15400.0,False,False,False
KOTA JAKARTA UTARA,77.0,2017-10-11,70000,0,37170000,8415307,700630000,531.0,120,10009.0,513,35910000,4.93,3802.0,11357.0,misc,50000.0,False,False,False
